Work Location,IT_Salary_From,IT_Salary_To,NonIT_Salary_from,NonIT_Salary_To,Annual_salary_from,Annual_Salary_to,Daily_Salary_from,Daily_Salary_to,Hourly_Salary_from,Hourly_Salary_to,Annual_Salary_freq,Daily_salary_freq,Hourly_salary_freq,Total_Opening,Non_IT,IT,Full_Time,Part_Time
Manhattan ,0,0,30580,35098,30580,35098,0,0,0,0,2,0,0,2,2,0,0,2
Manhattan ,0,0,36239,41675,36239,41675,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,58250.28571,74897.78571,50457.69587,66423.89905,53976,70719,0,0,30,32,74,0,3,77,63,14,4,73
Manhattan ,0,0,41482.83857,75494.21286,58059,105673,0,0,43,48,10,0,4,14,14,0,4,10
Manhattan ,0,0,60503,78052.98824,64260,82907,385,385,0,0,32,2,0,34,34,0,5,29
NYC,0,0,55460.19,87866.79,69316,109824,0,0,36,36,8,0,2,10,10,0,0,10
Brooklyn ,0,0,34602.5,42600,34602,42600,0,0,0,0,4,0,0,4,4,0,0,4
Queens,0,0,277.04,322.4,0,0,277,322,0,0,0,2,0,2,2,0,0,2
Brooklyn,0,0,61386,78570,61386,78570,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,0,0,61770.53333,81227.2,61771,81227,0,0,0,0,15,0,0,15,15,0,0,15
Manhattan ,77874.65625,102845.9375,70503.91667,94068.58333,83449,110496,0,0,15,18,40,0,4,44,12,32,6,38
Brooklyn,0,0,30580,35167,30580,35167,0,0,0,0,2,0,0,2,2,0,0,2
Queens,0,0,25997.63833,33572.03833,51776,66924,322,322,14,18,6,4,2,12,12,0,2,10
Manhattan ,0,0,33875,54879,33875,54879,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,0,0,145253.5,185634,145254,185634,0,0,0,0,4,0,0,4,4,0,2,2
Manhattan ,66600.2,94281.6,56830.14694,91681.27694,59848,96042,352,352,24,37,129,1,5,135,130,5,0,135
Manhattan ,0,0,60435,110000,60435,110000,0,0,0,0,1,0,0,1,1,0,0,1
Bronx ,0,0,45506,55496.5,45506,55496,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,0,0,49862,57341,49862,57341,0,0,0,0,2,0,0,2,2,0,0,2
Queens,0,0,373.03,373.03,0,0,373,373,0,0,0,2,0,2,2,0,0,2
Queens,0,0,361.48,361.48,0,0,361,361,0,0,0,1,0,1,1,0,0,1
Queens,53323.9066,76443.68378,57682.68464,82959.38228,58303,83752,0,0,29,37,257,0,5,262,237,23,22,240
Manhattan ,70961,120000,39249.63636,50982.34545,57336,80049,276,276,14,18,10,1,2,13,11,2,2,11
S.I,0,0,69929,94092,69929,94092,0,0,0,0,2,0,0,2,2,0,0,2
Manhattan ,0,0,34767,45289.66667,34767,45290,0,0,0,0,3,0,0,3,3,0,0,3
Manhattan ,0,0,54457,84641,54457,84641,0,0,0,0,1,0,0,1,1,0,0,1
Queens,0,0,94983.12,94983.12,94983,94983,0,0,0,0,4,0,0,4,4,0,0,4
Manhattan ,15.03,17.28,32574.39209,41273.64651,51866,65719,0,0,19,21,27,0,18,45,43,2,18,27
NYC ,0,0,73983.66667,103084.6667,73984,103085,0,0,0,0,6,0,0,6,6,0,0,6
NYC,0,0,46466,56270,46466,56270,0,0,0,0,2,0,0,2,2,0,0,2
Manhattan ,0,0,277.04,322.4,0,0,277,322,0,0,0,2,0,2,2,0,0,2
Queens,76580.33333,102310.6667,84577.55556,101138.6667,82578,101432,0,0,0,0,24,0,0,24,18,6,0,24
Manhattan ,58675,125000,44504.85714,63937.71429,46276,71570,0,0,0,0,8,0,0,8,7,1,4,4
Queens,0,0,77131,84906,77131,84906,0,0,0,0,2,0,0,2,2,0,0,2
NYC ,77157,99406,0,0,77157,99406,0,0,0,0,2,0,0,2,0,2,0,2
Manhattan ,78668.5,92194,57936.19753,69172.28395,58912,70256,0,0,0,0,85,0,0,85,81,4,2,83
Manhattan ,54643,87550,71539,93333.33333,64781,91020,0,0,0,0,5,0,0,5,3,2,0,5
Brooklyn,0,0,58786,89729,58786,89729,0,0,0,0,1,0,0,1,1,0,0,1
Brooklyn,0,0,343,343,0,0,343,343,0,0,0,2,0,2,2,0,0,2
Queens,0,0,23076.77857,30913.35,53341,71626,379,379,0,0,3,4,0,7,7,0,0,7
Brooklyn,0,0,35683,37000,35683,37000,0,0,0,0,2,0,0,2,2,0,0,2
Brooklyn ,69706.57072,89567.38616,49011.33333,64002.5,65670,84837,0,0,31,42,27,0,2,29,12,17,0,29
Queens ,0,0,73576,73576,73576,73576,0,0,0,0,3,0,0,3,3,0,0,3
Queens,0,0,29788.7593,34451.81565,59524,68840,0,0,54,64,6,0,6,12,12,0,6,6
Queens ,0,0,37217,41000,37217,41000,0,0,0,0,2,0,0,2,2,0,0,2
