Work Location,IT_Salary_From,IT_Salary_To,NonIT_Salary_from,NonIT_Salary_To,Annual_salary_from,Annual_Salary_to,Daily_Salary_from,Daily_Salary_to,Hourly_Salary_from,Hourly_Salary_to,Annual_Salary_freq,Daily_salary_freq,Hourly_salary_freq,Total_Opening,Non_IT,IT,Full_Time,Part_Time
"280 Broadway, 4th Floor, N.Y.",0,0,49862,61800,49862,61800,0,0,0,0,2,0,0,2,2,0,0,2
"280 Broadway, 5th Floor, N.Y.",0,0,57560.33333,64325.33333,57560,64325,0,0,0,0,3,0,0,3,3,0,0,3
"280 Broadway, 6th Floor, N.Y.",0,0,60435,135000,60435,135000,0,0,0,0,2,0,0,2,2,0,0,2
"280 Broadway, 7th Floor, N.Y.",0,0,51155.36364,75455.8,62520,92220,0,0,14,18,9,0,2,11,11,0,2,9
"280 Broadway, N.Y.",79564,1.00E+05,35372,40678,57468,70339,0,0,0,0,4,0,0,4,2,2,0,4
"2900 Flatbush Ave., Brooklyn",0,0,35330,57236,35330,57236,0,0,0,0,1,0,0,1,1,0,0,1
295 Flatbush Ext Brooklyn,0,0,15.2704,18.43076667,0,0,0,0,15,18,0,0,3,3,3,0,3,0
30-30 Thomson Ave L I City Qns,49143.55857,89638.89857,53202.68889,103222.0948,58298,112516,0,0,14,18,135,0,14,149,135,14,39,110
30-48 Linden Place,0,0,24538.61333,24541.82667,73576,73576,0,0,20,25,1,0,2,3,3,0,2,1
3030 Third Ave,0,0,15794.335,20039.51,31573,40061,0,0,16,18,2,0,2,4,4,0,2,2
"3050 West 21 St, Brooklyn Ny",0,0,59023,67876,59023,67876,0,0,0,0,1,0,0,1,1,0,0,1
"31-00 47 Ave, 3 FL, LIC NY",0,0,41258.16,53481.834,51569,66848,0,0,16,18,16,0,4,20,20,0,4,16
"31 Chambers St., N.Y.",0,0,35710,47317,35710,47317,0,0,0,0,1,0,0,1,1,0,0,1
"316 East 88 Street, New York N",0,0,18618,21009.5,37217,42000,0,0,19,19,2,0,2,4,4,0,2,2
"329 Greenpoint Ave., Brooklyn",0,0,38337.6955,50391.80814,47918,62984,0,0,15,24,8,0,2,10,10,0,2,8
"33 Beaver St, New York Ny",90001.125,110170.375,42233.56098,63184.47317,62187,85357,0,0,14,18,51,0,6,57,41,16,8,49
"335 Adams Street, Brooklyn Ny",81578.88889,123620.0556,71183.57143,110615.11,81945,124977,0,0,16,17,48,0,2,50,14,36,6,42
34-02 Queens Boulevard Long Is,0,0,50963.875,90795,50964,90795,0,0,0,0,16,0,0,16,16,0,6,10
34-33 Junction Blvd Queens,0,0,19.2103,21.5401,0,0,0,0,19,22,0,0,4,4,4,0,4,0
"345 Adams St., Brooklyn",0,0,60435,122500,60435,122500,0,0,0,0,1,0,0,1,1,0,0,1
345 East 59th Street,0,0,44670,56832,44670,56832,0,0,0,0,1,0,0,1,1,0,0,1
"350 Jay St, Brooklyn  Ny",0,0,40714.30628,47542.13798,48853,57044,0,0,19,31,10,0,2,12,12,0,2,10
"356 Flushing Ave, Brooklyn",0,0,50650.83765,64569.24941,57397,73171,0,0,53,53,15,0,2,17,17,0,0,17
"3701 Jerome Ave, Bx NY 10467",0,0,66390,97379,66390,97379,0,0,0,0,2,0,0,2,2,0,0,2
"4 Metrotech, Brooklyn Ny Ny",88412,117000,0,0,88412,117000,0,0,0,0,10,0,0,10,0,10,0,10
4 World Trade Center,0,0,57445.33333,80709.33333,57445,80709,0,0,0,0,6,0,0,6,6,0,0,6
"40 Worth St., N.Y.",0,0,54519.66667,125748.6667,54520,125749,0,0,0,0,6,0,0,6,6,0,0,6
"400 8Th Ave., N.Y.",0,0,35330,40629,35330,40629,0,0,0,0,1,0,0,1,1,0,0,1
42-09 28th Street,56488.56783,86500.70623,54560.57519,73667.97823,60063,81543,0,0,31,38,322,0,32,354,340,14,70,284
"42 Broadway, N.Y.",76103.5,99457.25,52769.43478,68326.17391,58791,76360,0,0,0,0,31,0,0,31,23,8,0,31
420 East 26Th St Ny Ny,0,0,30580,35098,30580,35098,0,0,0,0,2,0,0,2,2,0,0,2
420 East 38Th St.,0,0,36239,41675,36239,41675,0,0,0,0,4,0,0,4,4,0,0,4
421 East 26th Street NY NY,58250.28571,74897.78571,50457.69587,66423.89905,53976,70719,0,0,30,32,74,0,3,77,63,14,4,73
"44 Beaver St., N.Y.",0,0,41482.83857,75494.21286,58059,105673,0,0,43,48,10,0,4,14,14,0,4,10
"455 First Ave., N.Y.",0,0,60503,78052.98824,64260,82907,385,385,0,0,32,2,0,34,34,0,5,29
"465 Columbus Ave. Valhalla, Ny",0,0,55460.19,87866.79,69316,109824,0,0,36,36,8,0,2,10,10,0,0,10
470 Vanderbilt Ave,0,0,34602.5,42600,34602,42600,0,0,0,0,4,0,0,4,4,0,0,4
"48-67 34Th St., Queens",0,0,277.04,322.4,0,0,277,322,0,0,0,2,0,2,2,0,0,2
485 Throop Ave Brooklyn,0,0,61386,78570,61386,78570,0,0,0,0,4,0,0,4,4,0,0,4
"492 First Avenue, New York, Ny",0,0,61770.53333,81227.2,61771,81227,0,0,0,0,15,0,0,15,15,0,0,15
5 Manhattan West,77874.65625,102845.9375,70503.91667,94068.58333,83449,110496,0,0,15,18,40,0,4,44,12,32,6,38
"500 Kingsland Ave., Brooklyn,",0,0,30580,35167,30580,35167,0,0,0,0,2,0,0,2,2,0,0,2
"52-35 58Th St., Woodside, Ny",0,0,25997.63833,33572.03833,51776,66924,322,322,14,18,6,4,2,12,12,0,2,10
"52 Duane St., N.Y.",0,0,33875,54879,33875,54879,0,0,0,0,4,0,0,4,4,0,0,4
"520 1St Ave., N.Y.",0,0,145253.5,185634,145254,185634,0,0,0,0,4,0,0,4,4,0,2,2
55 Water St Ny Ny,66600.2,94281.6,56830.14694,91681.27694,59848,96042,352,352,24,37,129,1,5,135,130,5,0,135
"55 West 125 St, New York, Ny",0,0,60435,110000,60435,110000,0,0,0,0,1,0,0,1,1,0,0,1
560 Brook Avenue Bronx New Yor,0,0,45506,55496.5,45506,55496,0,0,0,0,4,0,0,4,4,0,0,4
"560 West 133 Street, New York,",0,0,49862,57341,49862,57341,0,0,0,0,2,0,0,2,2,0,0,2
"58-50 57 Road, Maspeth, N.Y.",0,0,373.03,373.03,0,0,373,373,0,0,0,2,0,2,2,0,0,2
